,Ticker,PreCovidMedianPrice,PreCovidMeanPrice,CovidMinPrice,CurrentPrice,PriceDipPercent,PriceRecoveryPercent,RemainingDipPercent
2018,PVAC,27.15,27.87,1.13,12.39,95.95,40.41,55.54
3014,UIHC,12.83,12.88,4.36,5.74,66.14,10.72,55.43
3260,STNG,33.64,33.1,8.81,14.92,73.38,18.46,54.92
3298,CPE,41.9,42.24,4.1,19.14,90.29,35.61,54.69
581,NR,6.81,6.74,0.67,3.07,90.06,35.62,54.44
1496,WHG,29.64,29.44,9.66,13.61,67.18,13.42,53.76
13,EEX,9.87,9.97,1.55,4.65,84.45,31.1,53.36
2070,ANIP,65.23,67.22,23.69,31.38,64.76,11.44,53.32
2871,NCLH,52.94,52.9,7.77,25.01,85.31,32.59,52.72
1208,FNHC,14.26,14.55,5.07,6.88,65.15,12.44,52.71
910,ADES,13.08,12.39,3.76,5.9,69.65,17.28,52.37
1348,CCL,44.57,45.34,7.97,21.61,82.42,30.08,52.34
3055,FARM,14.19,14.24,3.47,6.8,75.64,23.38,52.26
372,NNA,7.61,7.71,2.19,3.7,71.58,19.6,51.98
2196,BHAT,3.02,2.93,0.68,1.42,76.95,25.44,51.5
2450,BLCM,9.24,9.81,2.71,4.76,72.38,20.89,51.48
126,PAGP,19.25,19.54,3.49,9.48,82.14,30.66,51.48
1529,SPR,82.93,82.63,17.16,40.22,79.23,27.91,51.33
947,SFL,14.4,14.42,5.92,7.02,58.94,7.63,51.31
3280,FTI,21.14,21.79,5.01,10.62,77.0,25.75,51.26
1676,KOS,6.06,6.13,0.53,2.99,91.35,40.16,51.19
27,UVE,28.85,28.78,11.08,14.06,61.5,10.35,51.15
2463,BRY,9.49,9.41,1.9,4.6,79.8,28.7,51.1
724,NINE,5.76,5.95,0.38,2.91,93.61,42.53,51.08
155,ZGNX,44.44,44.96,17.5,22.25,61.07,10.57,50.51
10,UAL,89.26,89.36,19.92,44.35,77.71,27.34,50.37
718,ASC,8.22,7.96,2.71,3.96,65.96,15.7,50.26
1370,TNP,17.7,17.56,7.25,8.75,58.71,8.54,50.17
2765,ATRO,29.39,29.49,6.4,14.81,78.29,28.52,49.77
964,MCS,34.04,34.2,7.06,17.32,79.36,30.0,49.36
69,VYGR,14.93,15.16,6.8,7.7,55.13,5.94,49.19
221,REV,23.43,23.12,4.1,11.9,82.27,33.74,48.53
3184,NAOV,2.85,2.78,0.56,1.44,79.9,31.67,48.23
1403,PAYS,10.42,10.58,3.87,5.49,63.44,15.31,48.13
