,Ticker,PreCovidMedianPrice,PreCovidMeanPrice,CovidMinPrice,CurrentPrice,PriceDipPercent,PriceRecoveryPercent,RemainingDipPercent
1512,IMO,25.37,25.6,7.83,20.38,69.41,49.03,20.38
1261,UGI,47.46,46.69,22.92,37.18,50.91,30.54,20.36
1302,AMTB,20.68,20.52,9.31,16.35,54.63,34.31,20.32
1183,ALE,85.07,83.67,49.6,66.78,40.72,20.53,20.19
2220,COP,58.23,58.58,22.67,46.78,61.3,41.16,20.14
1765,FANG,85.76,86.31,15.56,68.93,81.97,61.83,20.14
2861,NI,27.65,27.92,20.86,22.32,25.28,5.23,20.05
3108,WORX,2.94,3.0,1.03,2.4,65.77,45.76,20.01
1041,CZNC,26.14,25.95,15.17,20.76,41.55,21.54,20.01
3123,GSKY,7.3,7.42,3.1,5.94,58.24,38.26,19.98
305,PCSB,20.24,20.22,11.11,16.18,45.05,25.08,19.97
2152,SAFT,98.33,98.13,67.16,78.57,31.56,11.63,19.93
1215,GNK,10.26,10.22,4.51,8.18,55.85,35.92,19.93
376,KRNY,13.79,13.64,6.92,10.92,49.26,29.33,19.93
2113,TRGP,39.28,39.02,4.73,31.26,87.88,68.0,19.88
1698,BKH,76.85,76.97,50.93,61.68,33.83,13.97,19.87
2677,CSOD,57.45,57.13,23.89,45.79,58.19,38.33,19.86
81,EVBN,38.01,38.29,20.71,30.69,45.92,26.06,19.86
1308,OTTR,52.48,52.22,33.13,41.86,36.56,16.72,19.84
241,FLXN,16.01,16.27,5.53,13.05,66.0,46.23,19.77
3245,AGO,47.27,47.12,19.07,37.8,59.53,39.75,19.77
546,THS,52.23,52.32,34.57,42.0,33.92,14.2,19.72
1819,AVA,47.73,47.7,32.74,38.34,31.36,11.74,19.61
2727,IFS,40.5,40.47,19.85,32.54,50.96,31.35,19.6
896,HA,29.12,28.58,8.63,22.99,69.81,50.24,19.57
1380,CLB,45.17,45.21,7.99,36.39,82.33,62.82,19.51
2412,NWBI,16.63,16.64,8.9,13.4,46.5,27.05,19.45
2437,KW,22.39,22.31,11.41,17.99,48.85,29.5,19.36
868,ETR,117.23,117.14,78.18,94.47,33.26,13.91,19.35
211,EIX,71.53,71.36,44.47,57.73,37.68,18.58,19.1
2219,ATO,110.38,110.1,80.5,89.08,26.89,7.79,19.09
2978,CPG,3.96,3.99,0.61,3.23,84.71,65.66,19.05
968,RGCO,28.93,28.92,22.51,23.41,22.16,3.11,19.05
1434,RTX,90.45,89.51,47.17,72.49,47.3,28.29,19.01
950,ATNI,57.0,57.46,38.51,46.54,32.98,13.98,19.0
1973,MRCC,10.88,10.83,4.9,8.78,54.76,35.83,18.93
41,DVN,22.74,23.1,5.41,18.75,76.58,57.75,18.83
3199,PRDO,16.68,16.79,7.96,13.64,52.6,33.82,18.78
1350,AXS,60.59,61.53,33.29,50.0,45.9,27.16,18.74
2621,VST,26.41,25.89,12.6,21.04,51.34,32.6,18.74
3334,RGP,15.49,15.67,9.02,12.74,42.45,23.73,18.72
2134,AINV,16.42,16.52,5.43,13.43,67.13,48.43,18.69
611,EYPT,15.8,17.72,3.7,14.41,79.12,60.45,18.67
784,MPC,60.87,60.75,16.62,49.48,72.64,54.09,18.55
815,BXG,9.76,9.8,3.42,7.99,65.12,46.61,18.5
477,FLS,48.22,47.6,19.24,38.79,59.58,41.07,18.5
395,HBMD,16.57,16.51,8.8,13.46,46.71,28.22,18.49
229,EPZM,13.02,14.24,10.34,11.62,27.39,8.99,18.4
1430,PBFS,13.4,13.59,8.04,11.1,40.86,22.51,18.35
606,IDA,107.68,107.68,74.34,87.98,30.96,12.67,18.29
2695,HBCP,38.88,38.9,19.31,31.82,50.36,32.16,18.2
1179,EXPR,3.39,3.68,0.58,3.01,84.23,66.06,18.17
2423,FDP,31.66,31.99,20.78,26.19,35.03,16.91,18.12
954,GLYC,5.18,5.12,1.83,4.2,64.28,46.26,18.02
1781,MNRO,76.82,75.84,40.01,62.19,47.24,29.25,17.99
2734,TWIN,10.5,10.68,4.75,8.76,55.52,37.55,17.96
1471,MCBC,10.64,10.61,6.27,8.7,40.88,22.91,17.96
1494,NEU,482.01,477.48,328.89,391.97,31.12,13.21,17.91
1186,AVCO,1.68,1.8,0.86,1.48,52.36,34.53,17.83
2865,HEPA,3.1,3.62,1.15,2.98,68.27,50.49,17.79
1947,MIND,2.63,2.7,0.73,2.22,72.95,55.21,17.74
632,FISI,31.64,31.24,14.28,25.7,54.29,36.56,17.73
1826,AMNB,36.48,36.75,19.63,30.25,46.59,28.9,17.69
1005,PCB,16.78,16.78,7.97,13.81,52.5,34.81,17.69
1690,NFBK,16.78,16.58,8.77,13.65,47.11,29.43,17.68
3138,PKE,16.41,16.88,10.06,13.9,40.39,22.75,17.63
728,ACGL,41.34,41.42,22.24,34.15,46.31,28.75,17.56
3161,UNM,29.29,28.99,10.38,23.93,64.19,46.74,17.45
1999,RNGR,6.47,6.33,2.3,5.23,63.67,46.28,17.39
864,DCOM,32.54,31.4,16.53,25.96,47.35,30.03,17.32
793,CWCO,16.34,16.26,10.06,13.44,38.11,20.79,17.32
2952,CMPR,129.74,128.86,43.86,106.6,65.96,48.69,17.27
668,NBR,102.0,106.82,10.5,88.39,90.17,72.91,17.26
16,PRGO,53.51,52.54,40.66,43.51,22.61,5.42,17.19
2195,ATLO,27.83,27.8,16.79,23.03,39.61,22.44,17.17
1874,USB,57.34,57.19,28.93,47.4,49.41,32.3,17.12
1090,CGBD,14.1,14.05,4.38,11.65,68.83,51.73,17.1
2432,CNDT,6.34,6.34,1.54,5.26,75.72,58.65,17.06
973,HCAP,9.41,9.48,2.72,7.87,71.31,54.31,17.0
2074,NGS,12.08,12.07,4.1,10.02,66.03,49.06,16.97
2758,SONA,15.71,15.7,7.88,13.04,49.81,32.86,16.95
2625,SOI,12.07,12.43,4.55,10.33,63.4,46.5,16.89
2575,MBWM,35.14,34.58,17.12,28.74,50.49,33.61,16.88
2454,NJR,43.73,43.64,24.61,36.3,43.61,26.79,16.82
694,NP,66.93,67.2,34.82,55.9,48.19,31.37,16.82
2828,OCFC,23.9,23.78,12.05,19.79,49.33,32.55,16.79
1935,CHEF,36.97,37.19,3.6,30.97,90.32,73.59,16.73
1547,EZPW,6.08,6.18,3.5,5.15,43.39,26.69,16.7
2378,SP,42.42,40.72,15.81,33.95,61.18,44.54,16.63
2108,FRBK,4.09,4.11,1.87,3.43,54.52,37.94,16.59
2681,NTUS,31.6,31.67,16.65,26.45,47.42,30.95,16.48
469,NOA,11.22,11.38,4.24,9.51,62.76,46.29,16.46
1388,PMBC,7.23,7.43,3.16,6.21,57.48,41.04,16.44
767,HOPE,14.51,14.47,7.11,12.1,50.86,34.49,16.37
2993,FSTR,19.69,19.89,8.75,16.66,56.02,39.76,16.26
2474,NRC,61.55,61.31,35.01,51.35,42.9,26.65,16.25
1541,HIG,60.44,60.05,26.25,50.31,56.29,40.07,16.22
745,TDS,24.82,24.88,15.26,20.85,38.67,22.47,16.2
2418,SIX,45.99,48.01,10.36,40.24,78.42,62.23,16.19
863,TRIT,9.85,9.84,6.84,8.25,30.5,14.33,16.18
533,SAVE,38.03,37.9,8.01,31.79,78.87,62.74,16.13
854,CSGS,52.93,53.66,37.88,45.01,29.41,13.29,16.12
2310,ARCE,44.68,44.86,31.74,37.64,29.24,13.15,16.09
2684,RDN,24.94,24.49,9.7,20.61,60.39,44.55,15.85
2753,TRP,51.18,51.28,33.51,43.16,34.66,18.82,15.84
1136,NUVA,70.54,69.33,32.82,58.35,52.66,36.83,15.83
2305,KAR,23.64,23.53,9.5,19.81,59.63,43.81,15.82
1656,PNW,92.23,91.4,62.91,76.94,31.17,15.35,15.82
2551,WSBC,37.4,37.21,18.4,31.34,50.55,34.78,15.77
1733,JJSF,189.33,189.05,108.42,159.35,42.65,26.94,15.71
2323,SUNS,17.63,17.61,6.95,14.84,60.52,44.81,15.71
801,LMNR,18.9,19.1,11.49,16.1,39.84,24.14,15.7
583,GBDC,17.75,17.8,9.38,15.01,47.3,31.6,15.7
2427,GT,15.38,15.09,4.57,12.73,69.72,54.07,15.64
808,NOC,353.2,355.79,269.86,300.13,24.15,8.51,15.64
778,THG,134.28,134.24,83.67,113.28,37.67,22.06,15.61
2182,MLHR,45.98,45.83,15.15,38.69,66.94,51.36,15.58
4,SBGI,39.87,38.68,12.25,32.66,68.33,52.76,15.57
1580,CCO,2.56,2.58,0.43,2.18,83.35,67.78,15.57
1851,NLOK,24.35,24.34,16.58,20.56,31.87,16.35,15.52
1392,EVRG,63.9,64.16,44.92,54.22,29.98,14.5,15.49
159,MFNC,15.68,15.77,7.37,13.34,53.27,37.86,15.41
447,BCO,87.72,86.69,34.79,73.33,59.87,44.46,15.41
2320,ITRN,24.82,25.09,11.58,21.22,53.84,38.43,15.41
3314,IMAX,21.5,21.5,7.16,18.2,66.7,51.34,15.36
592,AERI,20.8,20.93,9.12,17.72,56.43,41.09,15.34
708,CW,135.03,134.16,76.52,113.59,42.96,27.63,15.33
3349,PPL,33.29,32.91,18.59,27.87,43.51,28.2,15.32
2728,BLKB,85.01,85.44,40.29,72.37,52.84,37.55,15.3
2351,ALK,67.75,67.37,23.56,57.08,65.03,49.75,15.28
2328,PMD,9.11,9.09,3.67,7.7,59.61,44.35,15.27
1628,CWK,18.8,18.74,8.03,15.88,57.15,41.89,15.26
2711,EBSB,19.74,19.3,9.69,16.36,49.8,34.55,15.25
2395,NYCB,12.14,12.36,7.81,10.48,36.82,21.6,15.22
42,MGEE,76.94,76.83,54.09,65.17,29.6,14.42,15.18
2942,EURN,10.82,10.5,7.36,8.91,29.9,14.76,15.14
2988,OFG,21.77,21.87,9.32,18.56,57.38,42.25,15.13
226,CVGW,90.59,90.39,51.07,76.72,43.5,28.38,15.12
1514,INT,41.77,41.39,19.1,35.16,53.85,38.8,15.05
3029,SSKN,2.2,2.24,0.76,1.9,66.01,50.99,15.02
2455,ENTX,2.4,2.38,1.03,2.02,56.67,41.65,15.02
1043,RNR,189.31,189.61,119.71,161.13,36.86,21.85,15.02
3068,VRA,10.88,10.77,3.24,9.16,69.93,54.95,14.98
2169,OMC,78.52,78.44,45.8,66.75,41.61,26.71,14.9
2314,NVGS,11.27,11.47,3.88,9.77,66.16,51.37,14.8
1077,BRKL,15.81,15.48,8.23,13.2,46.85,32.1,14.75
1985,BMRC,44.29,43.75,25.03,37.3,42.79,28.05,14.74
2245,HIL,2.96,2.97,1.25,2.53,57.85,43.16,14.69
2820,TGP,15.18,14.93,7.42,12.75,50.31,35.69,14.62
2505,BUSE,26.49,26.19,14.17,22.37,45.9,31.31,14.59
593,MOFG,32.6,32.72,16.2,27.96,50.48,35.94,14.54
45,SCYX,10.9,10.47,4.28,8.95,59.13,44.59,14.54
1651,EGRX,59.14,59.02,34.37,50.45,41.77,27.24,14.52
2797,ESPR,39.81,43.14,24.2,36.89,43.9,29.42,14.49
1714,ARMK,43.25,43.25,12.94,37.0,70.08,55.63,14.45
3219,FNF,45.41,45.66,21.34,39.07,53.27,38.83,14.44
2768,NGVT,87.9,86.76,27.84,74.25,67.91,53.49,14.42
2448,SRE,146.08,145.85,88.62,124.85,39.24,24.84,14.4
759,ORI,22.72,22.81,12.33,19.54,45.95,31.61,14.34
639,FLNG,9.81,9.97,3.69,8.54,62.98,48.66,14.32
3134,BTN,2.86,2.87,1.29,2.46,55.03,40.79,14.24
1979,RE,264.5,262.48,161.72,225.19,38.39,24.18,14.21
853,CDEV,3.77,3.93,0.25,3.37,93.71,79.51,14.2
1543,GRIN,6.41,6.26,2.21,5.38,64.72,50.61,14.11
1691,CCBG,28.65,28.24,16.71,24.26,40.82,26.74,14.08
1441,TBNK,29.56,29.75,19.27,25.57,35.23,21.18,14.06
1895,RSSS,2.64,2.86,2.13,2.46,25.54,11.54,14.0
2189,CIVB,21.9,22.06,11.36,18.97,48.49,34.5,13.99
2796,TEN,13.09,12.95,2.32,11.14,82.08,68.11,13.97
1584,HPE,15.84,15.68,7.83,13.5,50.08,36.15,13.93
3024,CIR,38.96,40.32,9.02,34.74,77.63,63.79,13.84
2827,VRS,14.78,15.0,7.58,12.94,49.46,35.74,13.72
2116,RMR,46.4,46.37,22.68,40.02,51.09,37.39,13.7
1375,HCCI,27.0,27.83,12.47,24.03,55.19,41.54,13.65
493,VLGEA,26.02,25.92,17.1,22.38,34.02,20.37,13.64
917,EQBK,28.32,28.26,13.25,24.42,53.12,39.52,13.6
384,GIL,29.26,30.95,10.14,26.74,67.24,53.64,13.6
219,TRMK,34.48,34.37,20.23,29.71,41.14,27.58,13.55
59,BV,17.67,17.6,7.01,15.22,60.18,46.64,13.54
1007,FURY,2.0,1.98,1.08,1.71,45.15,31.64,13.51
1793,FMBI,20.94,20.9,10.54,18.1,49.58,36.16,13.42
1870,GASS,3.35,3.33,1.73,2.88,47.97,34.59,13.38
247,CSTE,15.85,15.98,8.25,13.84,48.36,34.99,13.38
1061,ENTA,62.6,63.43,40.22,54.95,36.59,23.22,13.37
2064,CALA,3.85,3.8,2.7,3.29,28.89,15.54,13.35
1949,TMST,6.08,6.35,2.26,5.51,64.43,51.15,13.28
3300,URGN,29.6,28.57,13.68,24.78,52.13,38.85,13.28
1747,PKBK,21.25,21.27,10.09,18.46,52.57,39.34,13.23
34,XCUR,2.68,2.7,1.03,2.34,61.79,48.59,13.2
720,LQDA,3.98,3.99,2.6,3.47,34.91,21.78,13.13
1764,ESNT,52.09,51.38,19.54,44.63,61.97,48.83,13.13
2516,FULT,16.97,16.85,9.01,14.65,46.52,33.48,13.04
1773,TCPC,13.88,13.87,4.4,12.06,68.27,55.24,13.02
3110,HAS,104.38,107.07,44.73,93.15,58.22,45.22,13.0
1598,AWI,95.39,95.56,59.2,83.14,38.05,25.05,12.99
1829,DHT,7.29,7.07,4.76,6.15,32.64,19.67,12.97
922,ATCX,10.08,10.07,5.01,8.77,50.24,37.35,12.89
3047,SBH,16.64,16.63,6.79,14.49,59.17,46.31,12.86
272,LAUR,16.69,16.66,7.67,14.53,53.97,41.17,12.8
411,CTEK,3.05,3.04,1.0,2.65,67.1,54.29,12.8
1550,ESXB,8.62,8.61,4.33,7.51,49.71,36.93,12.78
2028,TMP,86.54,85.38,54.65,74.48,35.99,23.23,12.77
2224,HTBI,26.31,26.28,12.48,22.93,52.52,39.76,12.76
2855,FFBC,24.28,24.4,11.4,21.29,53.28,40.53,12.75
690,AMSF,66.55,66.4,50.91,57.94,23.33,10.59,12.74
1481,FIXX,17.19,16.94,8.92,14.8,47.34,34.72,12.62
2509,MCHX,3.4,3.53,1.25,3.09,64.64,52.05,12.59
571,HMN,44.48,44.63,31.3,39.06,29.87,17.39,12.48
995,KL,44.8,44.89,23.1,39.29,48.54,36.07,12.47
2927,SRCE,50.93,49.31,27.25,43.16,44.74,32.27,12.47
918,MNSB,21.45,21.67,12.02,18.97,44.53,32.07,12.46
274,C,73.33,72.7,35.39,63.65,51.32,38.87,12.44
3241,AEP,92.6,92.47,70.0,80.98,24.3,11.87,12.43
1921,GOGL,5.83,5.84,2.55,5.12,56.37,43.97,12.4
3096,MNOV,7.7,7.72,2.9,6.76,62.41,50.03,12.38
792,MRK,84.69,85.64,66.4,75.04,22.46,10.09,12.37
2029,QSR,67.16,68.34,28.25,59.9,58.66,46.31,12.35
2145,NMFC,13.51,13.55,5.02,11.88,62.95,50.64,12.31
2841,AFL,52.72,52.77,25.27,46.28,52.11,39.81,12.3
257,DNOW,11.43,11.35,4.07,9.96,64.15,51.88,12.27
243,WBA,57.09,56.9,33.52,49.93,41.09,28.84,12.25
2133,GSBC,60.42,59.88,33.92,52.55,43.36,31.11,12.24
3153,LMT,385.15,384.97,276.8,337.84,28.1,15.86,12.24
1727,GNW,4.28,4.26,2.01,3.74,52.83,40.6,12.23
1739,GBT,51.9,57.81,37.65,50.74,34.87,22.64,12.22
145,FLT,293.41,294.17,171.72,258.23,41.62,29.41,12.22
3179,TRMD,9.53,9.22,6.49,8.1,29.58,17.47,12.11
2084,PICO,10.57,10.55,6.54,9.27,37.99,25.88,12.11
1965,GD,180.48,181.59,106.6,159.64,41.3,29.21,12.09
638,EPAC,24.55,24.37,14.15,21.43,41.95,29.87,12.08
3064,SMP,50.45,50.35,35.83,44.3,28.84,16.82,12.01
2349,GLNG,13.26,13.37,4.63,11.77,65.38,53.39,12.0
3319,BBGI,2.96,2.98,1.21,2.62,59.34,47.38,11.96
157,WBT,16.92,17.0,3.5,14.99,79.41,67.6,11.81
1902,BHE,32.8,31.94,14.75,28.18,53.82,42.05,11.77
1013,OPBK,9.8,9.82,5.62,8.67,42.79,31.05,11.74
2326,GAIN,12.91,13.22,6.51,11.67,50.76,39.03,11.73
2022,SJR,20.15,20.1,12.22,17.75,39.21,27.51,11.7
2834,FFNW,14.45,14.53,8.05,12.83,44.59,32.9,11.69
103,QUIK,5.04,4.77,2.2,4.21,53.84,42.18,11.66
1824,FCBP,22.48,22.64,11.91,20.0,47.39,35.74,11.65
1174,LORL,38.96,37.4,14.16,33.05,62.14,50.5,11.64
3273,HFWA,27.55,27.45,15.68,24.26,42.89,31.25,11.63
2811,BSRR,26.98,27.18,13.05,24.02,51.99,40.36,11.63
827,SLRC,20.62,20.58,7.55,18.19,63.32,51.7,11.62
79,MGY,11.19,11.19,3.38,9.9,69.79,58.27,11.52
988,ESLT,162.59,162.18,111.88,143.53,31.02,19.52,11.5
3296,AIR,44.19,43.64,9.44,38.63,78.37,66.88,11.49
1798,AMAL,18.21,17.81,8.13,15.77,54.35,42.89,11.46
2772,BK,47.0,47.24,27.49,41.95,41.8,30.61,11.19
1836,ATI,20.99,21.4,5.23,19.01,75.56,64.39,11.17
1049,TREC,8.64,8.36,4.31,7.43,48.47,37.3,11.17
3254,BANR,55.7,55.55,27.4,49.39,50.68,39.58,11.1
1928,CAAP,4.5,4.62,1.68,4.11,63.65,52.57,11.08
1038,LGL,10.65,11.92,7.71,10.6,35.32,24.25,11.07
2209,MGTA,10.73,11.49,6.03,10.22,47.53,36.46,11.07
2240,MTB,159.61,160.59,88.1,142.9,45.14,34.12,11.02
2172,OFIX,46.61,48.09,22.73,42.8,52.73,41.74,11.0
2764,CO,4.69,4.74,2.56,4.22,45.96,35.04,10.92
297,SMMF,26.32,26.24,14.12,23.38,46.19,35.29,10.89
479,AIN,84.36,83.85,31.61,74.76,62.3,51.46,10.84
2915,PRU,91.57,90.75,39.22,80.91,56.78,45.94,10.84
398,LNC,59.45,58.92,17.06,52.55,71.04,60.24,10.81
572,FDUS,15.09,15.03,4.72,13.41,68.6,57.81,10.78
1872,GSBD,20.55,20.6,8.38,18.38,59.32,48.55,10.77
483,BFST,24.6,24.52,9.64,21.9,60.69,49.99,10.69
239,CCRN,10.83,11.1,4.75,9.91,57.19,46.5,10.69
28,ORRF,21.94,22.1,11.66,19.74,47.24,36.56,10.67
1803,HTLD,21.39,21.43,15.78,19.16,26.38,15.77,10.61
2318,EBTC,30.65,30.87,20.01,27.68,35.19,24.84,10.34
2837,K,63.99,64.38,53.56,57.74,16.8,6.49,10.31
2741,GEG,3.42,3.4,1.59,3.05,53.22,42.95,10.27
2632,FNB,12.17,12.03,5.6,10.8,53.47,43.21,10.26
2886,BBDC,10.24,10.22,5.34,9.18,47.77,37.56,10.21
2289,SLCT,11.58,11.62,6.39,10.43,44.99,34.78,10.21
1814,TAP,53.79,54.24,32.65,48.72,39.8,29.63,10.18
1758,HMTV,12.9,12.92,7.79,11.61,39.69,29.58,10.11
2367,SCSC,32.4,33.09,14.56,29.77,56.0,45.96,10.04
2999,EFSC,44.55,43.61,24.13,39.24,44.67,34.64,10.03
2821,CIA,6.88,6.91,4.06,6.22,41.27,31.25,10.02
195,LBC,11.43,11.33,7.53,10.2,33.56,23.56,10.0
890,FHI,32.79,32.6,13.07,29.35,59.91,49.94,9.97
2879,TRVI,3.8,3.94,1.71,3.55,56.63,46.67,9.96
2832,FCF,14.09,13.83,7.07,12.45,48.86,38.91,9.95
1608,FCCO,19.55,19.9,12.23,17.92,38.53,28.6,9.93
262,ODT,30.34,30.4,13.0,27.39,57.23,47.34,9.89
729,PFBI,17.77,17.57,8.23,15.84,53.16,43.31,9.86
3146,ARKO,9.95,10.84,7.78,9.77,28.2,18.36,9.84
248,LVS,61.84,61.33,37.68,55.3,38.56,28.73,9.83
541,CFB,13.82,13.7,5.74,12.35,58.09,48.26,9.83
117,DLA,25.15,25.96,8.29,23.41,68.06,58.25,9.81
2672,BYSI,15.5,15.73,9.68,14.2,38.48,28.73,9.75
2864,PGC,29.54,29.27,12.7,26.43,56.61,46.91,9.71
1645,HURN,65.93,64.37,37.86,58.12,41.19,31.47,9.71
1558,FCCY,19.24,19.62,9.88,17.72,49.64,39.96,9.68
685,ESGC,2.3,2.35,1.37,2.12,41.63,31.95,9.68
590,TGLS,7.98,7.94,2.29,7.17,71.15,61.48,9.67
1560,CMS,62.37,62.47,48.51,56.44,22.35,12.69,9.65
335,CBAN,15.73,15.77,9.16,14.25,41.92,32.28,9.64
986,ASRV,4.16,4.17,2.39,3.77,42.7,33.08,9.62
1490,FBIZ,24.52,24.54,13.16,22.18,46.36,36.76,9.6
1448,RBB,20.14,20.18,10.78,18.24,46.57,36.98,9.59
536,KAMN,63.11,62.04,29.76,56.11,52.03,42.47,9.56
739,JBLU,18.76,18.2,6.86,16.46,62.3,52.76,9.54
817,UVV,54.52,54.11,38.58,48.96,28.71,19.18,9.52
2408,PACW,37.57,37.34,14.14,33.8,62.13,52.65,9.48
2585,BMTC,38.35,38.02,22.22,34.44,41.56,32.14,9.42
2043,MTG,13.98,13.64,4.97,12.37,63.57,54.24,9.33
2446,CLPS,4.85,4.31,1.68,3.91,61.04,51.72,9.32
288,DISH,34.76,34.76,18.15,31.52,47.78,38.47,9.31
1358,UBSI,38.41,38.49,20.68,34.92,46.27,37.0,9.27
2791,AFYA,26.54,26.21,13.99,23.78,46.61,37.36,9.26
645,PNNT,6.18,6.24,1.95,5.66,68.73,59.5,9.23
1920,AROW,35.12,34.93,23.91,31.71,31.56,22.33,9.23
642,GRA,67.16,67.42,28.0,61.21,58.47,49.26,9.21
1355,TAST,7.5,7.54,1.07,6.85,85.82,76.61,9.21
1567,RGLD,119.54,120.45,69.64,109.36,42.18,32.98,9.21
3101,SWI,18.8,18.72,12.5,17.0,33.22,24.04,9.19
347,WASH,51.32,50.8,27.99,46.15,44.9,35.75,9.15
1834,AWR,89.7,89.1,65.41,80.98,26.59,17.47,9.12
1078,HRTX,20.97,21.52,10.23,19.56,52.46,43.36,9.11
743,RUTH,20.96,21.5,4.11,19.54,80.88,71.78,9.1
1987,TBI,22.68,22.34,12.04,20.33,46.12,37.1,9.02
787,D,81.36,81.13,59.39,73.83,26.8,17.8,9.0
2581,TR,34.75,35.27,29.07,32.1,17.59,8.59,9.0
2286,ABIO,5.35,5.42,2.32,4.93,57.16,48.19,8.98
1105,WABC,65.33,64.84,47.37,59.02,26.94,17.97,8.98
1592,CRNX,18.01,18.49,11.52,16.84,37.71,28.77,8.94
3181,BCE,48.07,47.93,31.96,43.65,33.32,24.39,8.93
1682,UHS,144.27,144.26,67.69,131.45,53.08,44.2,8.88
3136,LXU,4.62,4.66,1.04,4.25,77.7,68.83,8.88
517,BANX,22.39,22.44,10.11,20.45,54.94,46.09,8.85
1389,PTMN,2.21,2.19,0.75,2.0,65.82,56.97,8.85
1704,SIRI,6.72,6.64,4.44,6.06,33.17,24.39,8.78
2526,GHC,643.72,651.26,277.62,594.08,57.37,48.59,8.78
1019,CFFN,14.04,14.02,8.77,12.79,37.44,28.67,8.77
930,MGTX,17.47,17.51,9.31,15.99,46.83,38.15,8.69
1365,OVV,22.0,22.01,2.22,20.1,89.91,81.23,8.69
867,USFD,40.29,40.47,9.72,36.96,75.98,67.3,8.68
825,ENSV,2.95,3.01,1.32,2.75,56.16,47.49,8.67
2126,UFS,36.94,36.49,18.58,33.33,49.08,40.42,8.66
1593,NBTB,39.64,38.6,26.19,35.26,32.14,23.5,8.64
943,CAC,44.14,44.06,26.93,40.26,38.88,30.25,8.63
2268,PAE,10.13,10.17,3.45,9.3,66.09,57.5,8.58
2961,PBCT,16.37,16.22,9.51,14.83,41.37,32.8,8.57
167,HWCC,4.19,4.22,1.75,3.86,58.54,49.98,8.56
2075,LBAI,16.54,16.24,8.7,14.85,46.43,37.87,8.56
357,ULBI,8.4,8.35,5.0,7.64,40.14,31.61,8.54
2586,VZ,60.21,60.19,49.94,55.05,17.02,8.49,8.53
875,BRC,56.1,55.3,37.41,50.6,32.35,23.85,8.5
2571,VFC,88.42,89.28,45.99,81.7,48.49,40.0,8.49
2047,FHB,28.06,27.81,13.98,25.46,49.73,41.28,8.45
1454,CTBI,44.05,43.8,28.05,40.1,35.95,27.51,8.44
3322,LIVN,76.09,76.67,34.22,70.21,55.37,46.94,8.42
798,STXB,21.66,21.84,9.02,20.0,58.69,50.28,8.41
1668,SEIC,60.97,61.58,36.59,56.4,40.58,32.17,8.41
280,FAF,60.33,60.54,33.16,55.47,45.23,36.85,8.38
737,HCKT,16.14,16.08,9.68,14.73,39.79,31.41,8.37
2467,LHX,201.71,203.18,150.22,186.27,26.07,17.74,8.32
1126,NNBR,7.84,7.87,1.43,7.22,81.84,73.53,8.31
2549,UNVR,22.61,22.34,7.08,20.49,68.31,60.03,8.28
2529,FNLC,28.08,28.09,18.22,25.76,35.13,26.85,8.28
2138,EEFT,148.65,150.23,68.73,137.83,54.25,46.0,8.25
2623,OSBC,12.47,12.48,6.22,11.45,50.14,41.92,8.22
2688,KINS,8.16,8.12,4.03,7.45,50.35,42.14,8.21
1629,FONR,20.19,20.66,11.21,18.98,45.74,37.61,8.14
1940,OPNT,14.5,14.64,6.87,13.45,53.08,44.94,8.14
265,LSEA,10.27,10.28,8.92,9.45,13.23,5.16,8.07
3244,CNCE,7.22,7.9,5.98,7.26,24.28,16.21,8.07
623,TPVG,16.14,15.59,2.9,14.33,81.4,73.33,8.07
1062,NFH,10.2,10.2,7.19,9.38,29.51,21.47,8.05
1863,RMBI,13.93,14.22,9.13,13.08,35.79,27.78,8.01
2807,CLBS,2.45,2.42,1.21,2.23,50.09,42.08,8.01
1165,JBSS,95.49,96.46,69.04,88.75,28.43,20.43,7.99
2203,HSC,21.03,20.55,4.57,18.92,77.76,69.82,7.94
296,ATEX,40.11,40.11,27.51,36.94,31.41,23.51,7.89
1971,AVT,41.51,41.84,19.79,38.55,52.71,44.83,7.87
1266,CSII,45.93,46.35,27.86,42.73,39.9,32.08,7.82
3046,INGN,54.44,59.09,27.01,54.48,54.29,46.48,7.81
190,GSV,0.78,0.79,0.27,0.73,65.9,58.09,7.81
118,SND,2.5,2.54,0.6,2.34,76.36,68.56,7.8
332,WU,25.2,25.2,17.6,23.25,30.15,22.42,7.72
1615,SHBI,16.25,16.23,7.79,14.98,52.0,44.3,7.7
2757,TSC,23.44,23.2,8.02,21.42,65.43,57.77,7.66
1622,RBCAA,44.8,44.82,27.4,41.39,38.86,31.21,7.65
404,FNWB,17.4,17.31,8.77,15.99,49.34,41.71,7.64
1413,CALM,42.88,42.2,30.95,39.02,26.67,19.12,7.55
3267,TFSL,19.31,18.99,12.76,17.56,32.81,25.27,7.54
392,LNT,53.06,53.06,39.99,49.06,24.64,17.09,7.54
1268,LNTH,20.7,21.2,9.11,19.6,57.02,49.49,7.53
3230,HNI,38.03,37.15,18.13,34.36,51.2,43.68,7.52
1866,EXN,3.6,3.61,1.5,3.34,58.46,50.95,7.51
1189,KO,53.96,53.96,37.56,49.92,30.4,22.9,7.49
2742,FRPH,50.12,50.14,31.0,46.39,38.17,30.7,7.47
1569,EXFO,4.18,4.11,2.09,3.8,49.11,41.64,7.47
416,PTVCB,16.28,16.34,10.23,15.12,37.39,29.93,7.46
