Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,242.8000030517578,247.3000030517578,241.8000030517578,245.89999389648438,231.72288513183594,30620
2019-06-04,250.1999969482422,254.89999389648438,248.6999969482422,254.5,239.82705688476562,14800
2019-06-05,253.8000030517578,255.0,244.6999969482422,248.0,233.70179748535156,12890
2019-06-06,248.60000610351562,258.0,248.60000610351562,256.70001220703125,241.90023803710938,12900
2019-06-07,258.0,261.70001220703125,256.3999938964844,258.6000061035156,243.69065856933594,12870
2019-06-10,261.0,264.6000061035156,258.8999938964844,259.5,244.53878784179688,13350
2019-06-11,262.8999938964844,265.5,260.20001220703125,260.20001220703125,245.19842529296875,10190
2019-06-12,255.8000030517578,257.0,250.5,252.0,237.47120666503906,8160
2019-06-13,257.5,260.20001220703125,256.5,258.29998779296875,243.407958984375,10860
2019-06-14,259.3999938964844,259.3999938964844,253.1999969482422,254.3000030517578,239.63858032226562,6660
2019-06-17,252.60000610351562,260.0,252.1999969482422,258.8999938964844,243.97335815429688,8330
2019-06-18,261.1000061035156,269.29998779296875,261.1000061035156,266.0,250.6640167236328,12290
2019-06-19,265.20001220703125,268.5,263.79998779296875,265.3999938964844,250.0985870361328,9860
2019-06-20,273.79998779296875,278.5,273.79998779296875,276.8999938964844,260.93560791015625,24880
2019-06-21,277.70001220703125,282.79998779296875,277.70001220703125,281.1000061035156,264.89349365234375,16150
2019-06-24,281.0,281.79998779296875,275.1000061035156,275.6000061035156,259.7105407714844,14560
2019-06-25,273.3999938964844,273.5,269.0,269.70001220703125,255.7281494140625,12280
2019-06-26,275.3999938964844,282.1000061035156,274.5,278.3999938964844,263.9774475097656,16360
2019-06-27,278.8999938964844,278.8999938964844,272.8999938964844,273.79998779296875,259.61572265625,6630
2019-06-28,275.70001220703125,281.0,275.6000061035156,280.0,265.4945373535156,9900
2019-07-01,287.5,289.5,279.8999938964844,281.20001220703125,266.63238525390625,11230
2019-07-02,279.70001220703125,279.70001220703125,269.3999938964844,271.1000061035156,257.05560302734375,10550
2019-07-03,273.0,274.20001220703125,269.6000061035156,273.8999938964844,259.7105407714844,5300
2019-07-05,271.8999938964844,275.0,270.79998779296875,275.0,260.7535705566406,7540
2019-07-08,273.20001220703125,278.3999938964844,272.79998779296875,274.8999938964844,260.65875244140625,9750
2019-07-09,274.5,275.79998779296875,270.5,275.29998779296875,261.03802490234375,6850
2019-07-10,279.3999938964844,284.3999938964844,279.29998779296875,283.1000061035156,268.4339599609375,12990
2019-07-11,284.8999938964844,284.8999938964844,280.5,283.3999938964844,268.7183837890625,14100
2019-07-12,284.0,287.3999938964844,284.0,285.79998779296875,270.99407958984375,11150
2019-07-15,288.0,288.0,278.5,279.3999938964844,264.9256286621094,12580
2019-07-16,280.29998779296875,281.0,271.20001220703125,272.8999938964844,258.7623291015625,14080
2019-07-17,273.5,273.8999938964844,266.20001220703125,266.3999938964844,252.59906005859375,19670
2019-07-18,263.79998779296875,266.20001220703125,260.79998779296875,265.79998779296875,252.0301971435547,11690
2019-07-19,266.6000061035156,270.29998779296875,265.0,268.70001220703125,254.7799530029297,15190
2019-07-22,269.20001220703125,272.8999938964844,266.79998779296875,271.3999938964844,257.34002685546875,11910
2019-07-23,271.8999938964844,273.70001220703125,269.70001220703125,273.0,258.857177734375,7480
