Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,0
2019-10-22,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,0
2019-10-23,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,0
2019-10-24,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,600
2019-10-25,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,36.08000183105469,0
2019-10-28,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,100
2019-10-29,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-10-30,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-10-31,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-01,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-04,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-05,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-06,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-07,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-08,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-11,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-12,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,39.470001220703125,0
2019-11-13,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,400
2019-11-14,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-15,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-18,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-19,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,100
2019-11-20,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-21,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-22,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-25,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-26,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-27,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-11-29,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-02,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-03,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-04,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-05,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-06,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-09,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-10,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-11,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-12,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-13,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-16,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-17,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-18,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-19,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-20,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-23,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
